child,parent,child_descriptor,parent_descriptor
R-HSA-77042,R-HSA-8953854,Formation of editosomes by ADAR proteins,Metabolism of RNA
R-HSA-77075,R-HSA-74160,RNA Pol II CTD phosphorylation and interaction with CE,Gene expression (Transcription)
R-HSA-77108,R-HSA-1430728,Utilization of Ketone Bodies,Metabolism
R-HSA-77111,R-HSA-1430728,Synthesis of Ketone Bodies,Metabolism
R-HSA-77285,R-HSA-1430728,Beta oxidation of myristoyl-CoA to lauroyl-CoA,Metabolism
R-HSA-77288,R-HSA-1430728,mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,Metabolism
R-HSA-77289,R-HSA-1430728,Mitochondrial Fatty Acid Beta-Oxidation,Metabolism
R-HSA-77305,R-HSA-1430728,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,Metabolism
R-HSA-77310,R-HSA-1430728,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Metabolism
R-HSA-77346,R-HSA-1430728,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Metabolism
R-HSA-77348,R-HSA-1430728,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Metabolism
R-HSA-77350,R-HSA-1430728,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Metabolism
R-HSA-77352,R-HSA-1430728,Beta oxidation of butanoyl-CoA to acetyl-CoA,Metabolism
R-HSA-77387,R-HSA-162582,Insulin receptor recycling,Signal Transduction
R-HSA-77588,R-HSA-8953854,SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs,Metabolism of RNA
R-HSA-77595,R-HSA-8953854,Processing of Intronless Pre-mRNAs,Metabolism of RNA
R-HSA-804914,R-HSA-382551,Transport of fatty acids,Transport of small molecules
R-HSA-83936,R-HSA-382551,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Transport of small molecules
R-HSA-844455,R-HSA-168256,The NLRP1 inflammasome,Immune System
R-HSA-844456,R-HSA-168256,The NLRP3 inflammasome,Immune System
R-HSA-844615,R-HSA-168256,The AIM2 inflammasome,Immune System
R-HSA-844623,R-HSA-168256,The IPAF inflammasome,Immune System
R-HSA-877300,R-HSA-168256,Interferon gamma signaling,Immune System
R-HSA-877312,R-HSA-168256,Regulation of IFNG signaling,Immune System
R-HSA-879415,R-HSA-168256,Advanced glycosylation endproduct receptor signaling,Immune System
R-HSA-879518,R-HSA-382551,Transport of organic anions,Transport of small molecules
R-HSA-880009,R-HSA-1430728,Interconversion of 2-oxoglutarate and 2-hydroxyglutarate,Metabolism
R-HSA-881907,R-HSA-162582,Gastrin-CREB signalling pathway via PKC and MAPK,Signal Transduction
R-HSA-8847453,R-HSA-1430728,Synthesis of PIPs in the nucleus,Metabolism
R-HSA-8847993,R-HSA-162582,ERBB2 Activates PTK6 Signaling,Signal Transduction
R-HSA-8849175,R-HSA-1430728,Threonine catabolism,Metabolism
R-HSA-8849468,R-HSA-162582,PTK6 Regulates Proteins Involved in RNA Processing,Signal Transduction
R-HSA-8849469,R-HSA-162582,PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1,Signal Transduction
R-HSA-8849470,R-HSA-162582,PTK6 Regulates Cell Cycle,Signal Transduction
R-HSA-8849471,R-HSA-162582,"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",Signal Transduction
R-HSA-8849472,R-HSA-162582,PTK6 Down-Regulation,Signal Transduction
R-HSA-8849473,R-HSA-162582,PTK6 Expression,Signal Transduction
R-HSA-8849474,R-HSA-162582,PTK6 Activates STAT3,Signal Transduction
R-HSA-8849932,R-HSA-112316,Synaptic adhesion-like molecules,Neuronal System
R-HSA-8850843,R-HSA-1430728,Phosphate bond hydrolysis by NTPDase proteins,Metabolism
R-HSA-8851680,R-HSA-168256,Butyrophilin (BTN) family interactions,Immune System
R-HSA-8851708,R-HSA-1643685,Signaling by FGFR2 IIIa TM,Disease
R-HSA-8851805,R-HSA-162582,MET activates RAS signaling,Signal Transduction
R-HSA-8851907,R-HSA-162582,MET activates PI3K/AKT signaling,Signal Transduction
R-HSA-8852276,R-HSA-1640170,The role of GTSE1 in G2/M progression after G2 checkpoint,Cell Cycle
R-HSA-8852405,R-HSA-162582,Signaling by MST1,Signal Transduction
R-HSA-8853333,R-HSA-1643685,Signaling by FGFR2 fusions,Disease
R-HSA-8853334,R-HSA-1643685,Signaling by FGFR3 fusions in cancer,Disease
R-HSA-8853336,R-HSA-1643685,Signaling by plasma membrane FGFR1 fusions,Disease
R-HSA-8853338,R-HSA-1643685,Signaling by FGFR3 point mutants in cancer,Disease
R-HSA-8853383,R-HSA-1430728,Lysosomal oligosaccharide catabolism,Metabolism
R-HSA-8853659,R-HSA-1266738,RET signaling,Developmental Biology
R-HSA-8853884,R-HSA-74160,Transcriptional Regulation by VENTX,Gene expression (Transcription)
R-HSA-8854050,R-HSA-1640170,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,Cell Cycle
R-HSA-8854214,R-HSA-5653656,TBC/RABGAPs,Vesicle-mediated transport
R-HSA-8854518,R-HSA-1640170,AURKA Activation by TPX2,Cell Cycle
R-HSA-8854521,R-HSA-1640170,Interaction between PHLDA1 and AURKA,Cell Cycle
R-HSA-8854691,R-HSA-168256,Interleukin-20 family signaling,Immune System
R-HSA-8856825,R-HSA-5653656,Cargo recognition for clathrin-mediated endocytosis,Vesicle-mediated transport
R-HSA-8856828,R-HSA-5653656,Clathrin-mediated endocytosis,Vesicle-mediated transport
R-HSA-8857538,R-HSA-162582,PTK6 promotes HIF1A stabilization,Signal Transduction
R-HSA-8862803,R-HSA-1643685,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Disease
R-HSA-8863795,R-HSA-162582,Downregulation of ERBB2 signaling,Signal Transduction
R-HSA-8864260,R-HSA-74160,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,Gene expression (Transcription)
R-HSA-8865999,R-HSA-162582,MET activates PTPN11,Signal Transduction
R-HSA-8866376,R-HSA-1266738,Reelin signalling pathway,Developmental Biology
R-HSA-8866423,R-HSA-382551,VLDL assembly,Transport of small molecules
R-HSA-8866427,R-HSA-382551,VLDLR internalisation and degradation,Transport of small molecules
R-HSA-8866652,R-HSA-392499,Synthesis of active ubiquitin: roles of E1 and E2 enzymes,Metabolism of proteins
R-HSA-8866654,R-HSA-392499,E3 ubiquitin ligases ubiquitinate target proteins,Metabolism of proteins
R-HSA-8866904,R-HSA-74160,Negative regulation of activity of TFAP2 (AP-2) family transcription factors,Gene expression (Transcription)
R-HSA-8866906,R-HSA-74160,TFAP2 (AP-2) family regulates transcription of other transcription factors,Gene expression (Transcription)
R-HSA-8866907,R-HSA-74160,Activation of the TFAP2 (AP-2) family of transcription factors,Gene expression (Transcription)
R-HSA-8866910,R-HSA-74160,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,Gene expression (Transcription)
R-HSA-8866911,R-HSA-74160,TFAP2 (AP-2) family regulates transcription of cell cycle factors,Gene expression (Transcription)
R-HSA-8868766,R-HSA-8953854,rRNA processing in the mitochondrion,Metabolism of RNA
R-HSA-8869496,R-HSA-74160,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,Gene expression (Transcription)
R-HSA-8873719,R-HSA-392499,RAB geranylgeranylation,Metabolism of proteins
R-HSA-8874081,R-HSA-162582,MET activates PTK2 signaling,Signal Transduction
R-HSA-8874211,R-HSA-392499,CREB3 factors activate genes,Metabolism of proteins
R-HSA-8875360,R-HSA-1643685,InlB-mediated entry of Listeria monocytogenes into host cell,Disease
R-HSA-8875513,R-HSA-162582,MET interacts with TNS proteins,Signal Transduction
R-HSA-8875555,R-HSA-162582,MET activates RAP1 and RAC1,Signal Transduction
R-HSA-8875656,R-HSA-162582,MET receptor recycling,Signal Transduction
R-HSA-8875791,R-HSA-162582,MET activates STAT3,Signal Transduction
R-HSA-8876198,R-HSA-5653656,RAB GEFs exchange GTP for GDP on RABs,Vesicle-mediated transport
R-HSA-8876493,R-HSA-1643685,InlA-mediated entry of Listeria monocytogenes into host cells,Disease
R-HSA-8876725,R-HSA-392499,Protein methylation,Metabolism of proteins
R-HSA-8877330,R-HSA-74160,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),Gene expression (Transcription)
R-HSA-8877627,R-HSA-1430728,Vitamin E,Metabolism
R-HSA-8878166,R-HSA-74160,Transcriptional regulation by RUNX2,Gene expression (Transcription)
R-HSA-888568,R-HSA-112316,GABA synthesis,Neuronal System
R-HSA-888590,R-HSA-112316,"GABA synthesis, release, reuptake and degradation",Neuronal System
R-HSA-888593,R-HSA-112316,Reuptake of GABA,Neuronal System
R-HSA-8931987,R-HSA-74160,RUNX1 regulates estrogen receptor mediated transcription,Gene expression (Transcription)
R-HSA-8934593,R-HSA-74160,Regulation of RUNX1 Expression and Activity,Gene expression (Transcription)
R-HSA-8934903,R-HSA-9612973,Receptor Mediated Mitophagy,Autophagy
R-HSA-8935690,R-HSA-8963743,Digestion,Digestion and absorption
R-HSA-8935964,R-HSA-74160,RUNX1 regulates expression of components of tight junctions,Gene expression (Transcription)
R-HSA-8936459,R-HSA-74160,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,Gene expression (Transcription)
R-HSA-8937144,R-HSA-1430728,Aryl hydrocarbon receptor signalling,Metabolism
R-HSA-8939211,R-HSA-162582,ESR-mediated signaling,Signal Transduction
R-HSA-8939236,R-HSA-74160,RUNX1 regulates transcription of genes involved in differentiation of HSCs,Gene expression (Transcription)
R-HSA-8939242,R-HSA-74160,RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,Gene expression (Transcription)
R-HSA-8939243,R-HSA-74160,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,Gene expression (Transcription)
R-HSA-8939245,R-HSA-74160,RUNX1 regulates transcription of genes involved in BCR signaling,Gene expression (Transcription)
R-HSA-8939246,R-HSA-74160,RUNX1 regulates transcription of genes involved in differentiation of myeloid cells,Gene expression (Transcription)
R-HSA-8939247,R-HSA-74160,RUNX1 regulates transcription of genes involved in interleukin signaling,Gene expression (Transcription)
R-HSA-8939256,R-HSA-74160,RUNX1 regulates transcription of genes involved in WNT signaling,Gene expression (Transcription)
R-HSA-8939902,R-HSA-74160,Regulation of RUNX2 expression and activity,Gene expression (Transcription)
R-HSA-8940973,R-HSA-74160,RUNX2 regulates osteoblast differentiation,Gene expression (Transcription)
R-HSA-8941237,R-HSA-1474244,Invadopodia formation,Extracellular matrix organization
R-HSA-8941284,R-HSA-74160,RUNX2 regulates chondrocyte maturation,Gene expression (Transcription)
R-HSA-8941326,R-HSA-74160,RUNX2 regulates bone development,Gene expression (Transcription)
R-HSA-8941332,R-HSA-74160,RUNX2 regulates genes involved in cell migration,Gene expression (Transcription)
R-HSA-8941333,R-HSA-74160,RUNX2 regulates genes involved in differentiation of myeloid cells,Gene expression (Transcription)
R-HSA-8941413,R-HSA-168256,Events associated with phagocytolytic activity of PMN cells,Immune System
R-HSA-8941855,R-HSA-74160,RUNX3 regulates CDKN1A transcription,Gene expression (Transcription)
R-HSA-8941856,R-HSA-74160,RUNX3 regulates NOTCH signaling,Gene expression (Transcription)
R-HSA-8941858,R-HSA-74160,Regulation of RUNX3 expression and activity,Gene expression (Transcription)
R-HSA-8942233,R-HSA-1643685,Intestinal infectious diseases,Disease
R-HSA-8943723,R-HSA-162582,Regulation of PTEN mRNA translation,Signal Transduction
R-HSA-8943724,R-HSA-162582,Regulation of PTEN gene transcription,Signal Transduction
R-HSA-8948216,R-HSA-1474244,Collagen chain trimerization,Extracellular matrix organization
R-HSA-8948700,R-HSA-162582,Competing endogenous RNAs (ceRNAs) regulate PTEN translation,Signal Transduction
R-HSA-8948747,R-HSA-162582,Regulation of PTEN localization,Signal Transduction
R-HSA-8948751,R-HSA-162582,Regulation of PTEN stability and activity,Signal Transduction
R-HSA-8949215,R-HSA-382551,Mitochondrial calcium ion transport,Transport of small molecules
R-HSA-8949275,R-HSA-74160,RUNX3 Regulates Immune Response and Cell Migration,Gene expression (Transcription)
R-HSA-8949613,R-HSA-1852241,Cristae formation,Organelle biogenesis and maintenance
R-HSA-8949664,R-HSA-382551,Processing of SMDT1,Transport of small molecules
R-HSA-8950505,R-HSA-168256,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Immune System
R-HSA-8951430,R-HSA-74160,RUNX3 regulates WNT signaling,Gene expression (Transcription)
R-HSA-8951664,R-HSA-392499,Neddylation,Metabolism of proteins
R-HSA-8951671,R-HSA-74160,RUNX3 regulates YAP1-mediated transcription,Gene expression (Transcription)
R-HSA-8951911,R-HSA-74160,RUNX3 regulates RUNX1-mediated transcription,Gene expression (Transcription)
R-HSA-8951936,R-HSA-74160,RUNX3 regulates p14-ARF,Gene expression (Transcription)
R-HSA-8952158,R-HSA-74160,RUNX3 regulates BCL2L11 (BIM) transcription,Gene expression (Transcription)
R-HSA-8953750,R-HSA-74160,Transcriptional Regulation by E2F6,Gene expression (Transcription)
R-HSA-8955332,R-HSA-392499,Carboxyterminal post-translational modifications of tubulin,Metabolism of proteins
R-HSA-8956319,R-HSA-1430728,Nucleobase catabolism,Metabolism
R-HSA-8957275,R-HSA-392499,Post-translational protein phosphorylation,Metabolism of proteins
R-HSA-8963678,R-HSA-8963743,Intestinal lipid absorption,Digestion and absorption
R-HSA-8963684,R-HSA-1430728,Tyrosine catabolism,Metabolism
R-HSA-8963693,R-HSA-1430728,Aspartate and asparagine metabolism,Metabolism
R-HSA-8963888,R-HSA-382551,Chylomicron assembly,Transport of small molecules
R-HSA-8963889,R-HSA-382551,Assembly of active LPL and LIPC lipase complexes,Transport of small molecules
R-HSA-8963896,R-HSA-382551,HDL assembly,Transport of small molecules
R-HSA-8963901,R-HSA-382551,Chylomicron remodeling,Transport of small molecules
R-HSA-8964011,R-HSA-382551,HDL clearance,Transport of small molecules
R-HSA-8964026,R-HSA-382551,Chylomicron clearance,Transport of small molecules
R-HSA-8964038,R-HSA-382551,LDL clearance,Transport of small molecules
R-HSA-8964041,R-HSA-382551,LDL remodeling,Transport of small molecules
R-HSA-8964046,R-HSA-382551,VLDL clearance,Transport of small molecules
R-HSA-8964058,R-HSA-382551,HDL remodeling,Transport of small molecules
R-HSA-8964208,R-HSA-1430728,Phenylalanine metabolism,Metabolism
R-HSA-8964315,R-HSA-162582,G beta:gamma signalling through BTK,Signal Transduction
R-HSA-8964539,R-HSA-1430728,Glutamate and glutamine metabolism,Metabolism
R-HSA-8964540,R-HSA-1430728,Alanine metabolism,Metabolism
R-HSA-8964572,R-HSA-1430728,Lipid particle organization,Metabolism
R-HSA-8964616,R-HSA-162582,G beta:gamma signalling through CDC42,Signal Transduction
R-HSA-8981373,R-HSA-8963743,Intestinal hexose absorption,Digestion and absorption
R-HSA-8981607,R-HSA-382551,Intracellular oxygen transport,Transport of small molecules
R-HSA-8983432,R-HSA-168256,Interleukin-15 signaling,Immune System
R-HSA-8983711,R-HSA-168256,OAS antiviral response,Immune System
R-HSA-8984722,R-HSA-168256,Interleukin-35 Signalling,Immune System
R-HSA-8985586,R-HSA-1266738,SLIT2:ROBO1 increases RHOA activity,Developmental Biology
R-HSA-8985801,R-HSA-1266738,Regulation of cortical dendrite branching,Developmental Biology
R-HSA-8985947,R-HSA-168256,Interleukin-9 signaling,Immune System
R-HSA-8986944,R-HSA-74160,Transcriptional Regulation by MECP2,Gene expression (Transcription)
R-HSA-9006335,R-HSA-162582,Signaling by Erythropoietin,Signal Transduction
R-HSA-9007892,R-HSA-168256,Interleukin-38 signaling,Immune System
R-HSA-9008059,R-HSA-168256,Interleukin-37 signaling,Immune System
R-HSA-9009391,R-HSA-162582,Extra-nuclear estrogen signaling,Signal Transduction
R-HSA-901032,R-HSA-392499,ER Quality Control Compartment (ERQC),Metabolism of proteins
R-HSA-901042,R-HSA-392499,Calnexin/calreticulin cycle,Metabolism of proteins
R-HSA-9010553,R-HSA-1266738,Regulation of expression of SLITs and ROBOs,Developmental Biology
R-HSA-9010642,R-HSA-1266738,ROBO receptors bind AKAP5,Developmental Biology
R-HSA-9012546,R-HSA-168256,Interleukin-18 signaling,Immune System
R-HSA-9013418,R-HSA-162582,RHOBTB2 GTPase cycle,Signal Transduction
R-HSA-9013422,R-HSA-162582,RHOBTB1 GTPase cycle,Signal Transduction
R-HSA-9013507,R-HSA-162582,NOTCH3 Activation and Transmission of Signal to the Nucleus,Signal Transduction
R-HSA-9013508,R-HSA-162582,NOTCH3 Intracellular Domain Regulates Transcription,Signal Transduction
R-HSA-9013695,R-HSA-162582,NOTCH4 Intracellular Domain Regulates Transcription,Signal Transduction
R-HSA-9013700,R-HSA-162582,NOTCH4 Activation and Transmission of Signal to the Nucleus,Signal Transduction
R-HSA-9013957,R-HSA-168256,TLR3-mediated TICAM1-dependent programmed cell death,Immune System
R-HSA-9013973,R-HSA-168256,TICAM1-dependent activation of IRF3/IRF7,Immune System
R-HSA-9014325,R-HSA-168256,"TICAM1,TRAF6-dependent induction of TAK1 complex",Immune System
R-HSA-9014826,R-HSA-168256,Interleukin-36 pathway,Immune System
R-HSA-9014843,R-HSA-168256,Interleukin-33 signaling,Immune System
R-HSA-9017802,R-HSA-162582,Noncanonical activation of NOTCH3,Signal Transduction
R-HSA-9018519,R-HSA-162582,Estrogen-dependent gene expression,Signal Transduction
R-HSA-9018676,R-HSA-1430728,Biosynthesis of D-series resolvins,Metabolism
R-HSA-9018677,R-HSA-1430728,Biosynthesis of DHA-derived SPMs,Metabolism
R-HSA-9018679,R-HSA-1430728,Biosynthesis of EPA-derived SPMs,Metabolism
R-HSA-9018681,R-HSA-1430728,Biosynthesis of protectins,Metabolism
R-HSA-9018682,R-HSA-1430728,Biosynthesis of maresins,Metabolism
R-HSA-9018896,R-HSA-1430728,Biosynthesis of E-series 18(S)-resolvins,Metabolism
R-HSA-9020265,R-HSA-1430728,Biosynthesis of aspirin-triggered D-series resolvins,Metabolism
R-HSA-9020558,R-HSA-168256,Interleukin-2 signaling,Immune System
R-HSA-9020591,R-HSA-168256,Interleukin-12 signaling,Immune System
R-HSA-9020702,R-HSA-168256,Interleukin-1 signaling,Immune System
R-HSA-9020933,R-HSA-168256,Interleukin-23 signaling,Immune System
R-HSA-9020956,R-HSA-168256,Interleukin-27 signaling,Immune System
R-HSA-9020958,R-HSA-168256,Interleukin-21 signaling,Immune System
R-HSA-9022534,R-HSA-1643685,Loss of MECP2 binding ability to 5hmC-DNA,Disease
R-HSA-9022535,R-HSA-1643685,Loss of phosphorylation of MECP2 at T308,Disease
R-HSA-9022537,R-HSA-1643685,Loss of MECP2 binding ability to the NCoR/SMRT complex,Disease
R-HSA-9022538,R-HSA-1643685,Loss of MECP2 binding ability to 5mC-DNA,Disease
R-HSA-9022692,R-HSA-74160,Regulation of MECP2 expression and activity,Gene expression (Transcription)
R-HSA-9022699,R-HSA-74160,MECP2 regulates neuronal receptors and channels,Gene expression (Transcription)
R-HSA-9022702,R-HSA-74160,MECP2 regulates transcription of neuronal ligands,Gene expression (Transcription)
R-HSA-9022707,R-HSA-74160,MECP2 regulates transcription factors,Gene expression (Transcription)
R-HSA-9022927,R-HSA-74160,MECP2 regulates transcription of genes involved in GABA signaling,Gene expression (Transcription)
R-HSA-9023661,R-HSA-1430728,Biosynthesis of E-series 18(R)-resolvins,Metabolism
R-HSA-9024909,R-HSA-162582,BDNF activates NTRK2 (TRKB) signaling,Signal Transduction
R-HSA-9025046,R-HSA-162582,NTF3 activates NTRK2 (TRKB) signaling,Signal Transduction
R-HSA-9025094,R-HSA-1430728,Biosynthesis of DPAn-3 SPMs,Metabolism
R-HSA-9025106,R-HSA-1430728,Biosynthesis of DPAn-6 SPMs,Metabolism
R-HSA-9026286,R-HSA-1430728,Biosynthesis of DPAn-3-derived protectins and resolvins,Metabolism
R-HSA-9026290,R-HSA-1430728,Biosynthesis of DPAn-3-derived maresins,Metabolism
R-HSA-9026357,R-HSA-162582,NTF4 activates NTRK2 (TRKB) signaling,Signal Transduction
R-HSA-9026403,R-HSA-1430728,Biosynthesis of DPAn-3-derived 13-series resolvins,Metabolism
R-HSA-9026519,R-HSA-162582,Activated NTRK2 signals through RAS,Signal Transduction
R-HSA-9026527,R-HSA-162582,Activated NTRK2 signals through PLCG1,Signal Transduction
R-HSA-9026762,R-HSA-1430728,Biosynthesis of maresin conjugates in tissue regeneration (MCTR),Metabolism
R-HSA-9026766,R-HSA-1430728,Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR),Metabolism
R-HSA-9027276,R-HSA-162582,Erythropoietin activates Phosphoinositide-3-kinase (PI3K),Signal Transduction
R-HSA-9027277,R-HSA-162582,Erythropoietin activates Phospholipase C gamma (PLCG),Signal Transduction
R-HSA-9027283,R-HSA-162582,Erythropoietin activates STAT5,Signal Transduction
R-HSA-9027284,R-HSA-162582,Erythropoietin activates RAS,Signal Transduction
R-HSA-9027307,R-HSA-1430728,Biosynthesis of maresin-like SPMs,Metabolism
R-HSA-9027604,R-HSA-1430728,Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives,Metabolism
R-HSA-9028335,R-HSA-162582,Activated NTRK2 signals through PI3K,Signal Transduction
R-HSA-9028731,R-HSA-162582,Activated NTRK2 signals through FRS2 and FRS3,Signal Transduction
R-HSA-9029558,R-HSA-162582,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,Signal Transduction
R-HSA-9029569,R-HSA-162582,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,Signal Transduction
R-HSA-9031525,R-HSA-162582,NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake ,Signal Transduction
R-HSA-9031528,R-HSA-162582,NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose,Signal Transduction
R-HSA-9031628,R-HSA-162582,NGF-stimulated transcription,Signal Transduction
R-HSA-9032500,R-HSA-162582,Activated NTRK2 signals through FYN,Signal Transduction
R-HSA-9032759,R-HSA-162582,NTRK2 activates RAC1,Signal Transduction
R-HSA-9032845,R-HSA-162582,Activated NTRK2 signals through CDK5,Signal Transduction
R-HSA-9033241,R-HSA-9609507,Peroxisomal protein import,Protein localization
R-HSA-9033500,R-HSA-9609507,TYSND1 cleaves peroxisomal proteins,Protein localization
R-HSA-9033807,R-HSA-1430728,ABO blood group biosynthesis,Metabolism
R-HSA-9034013,R-HSA-162582,NTF3 activates NTRK3 signaling,Signal Transduction
R-HSA-9034015,R-HSA-162582,Signaling by NTRK3 (TRKC),Signal Transduction
R-HSA-9034793,R-HSA-162582,Activated NTRK3 signals through PLCG1,Signal Transduction
R-HSA-9034864,R-HSA-162582,Activated NTRK3 signals through RAS,Signal Transduction
R-HSA-9035968,R-HSA-1643685,Defective GGT1 causes Glutathionuria (GLUTH),Disease
R-HSA-9036092,R-HSA-1643685,Defective AVP does not bind AVPR2 and causes neurohypophyseal diabetes insipidus (NDI),Disease
R-HSA-9037628,R-HSA-1430728,Rhesus blood group biosynthesis,Metabolism
R-HSA-9037629,R-HSA-1430728,Lewis blood group biosynthesis,Metabolism
R-HSA-909733,R-HSA-168256,Interferon alpha/beta signaling,Immune System
R-HSA-912446,R-HSA-1640170,Meiotic recombination,Cell Cycle
R-HSA-912446,R-HSA-1474165,Meiotic recombination,Reproduction
R-HSA-912526,R-HSA-168256,Interleukin receptor SHC signaling,Immune System
R-HSA-912631,R-HSA-168256,Regulation of signaling by CBL,Immune System
R-HSA-912694,R-HSA-168256,Regulation of IFNA signaling,Immune System
R-HSA-913709,R-HSA-392499,O-linked glycosylation of mucins,Metabolism of proteins
R-HSA-916853,R-HSA-112316,Degradation of GABA,Neuronal System
R-HSA-917729,R-HSA-5653656,Endosomal Sorting Complex Required For Transport (ESCRT),Vesicle-mediated transport
R-HSA-917937,R-HSA-382551,Iron uptake and transport,Transport of small molecules
R-HSA-917977,R-HSA-382551,Transferrin endocytosis and recycling,Transport of small molecules
R-HSA-918233,R-HSA-168256,TRAF3-dependent IRF activation pathway,Immune System
R-HSA-933541,R-HSA-168256,TRAF6 mediated IRF7 activation,Immune System
R-HSA-933542,R-HSA-168256,TRAF6 mediated NF-kB activation,Immune System
R-HSA-933543,R-HSA-168256,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,Immune System
R-HSA-936440,R-HSA-168256,Negative regulators of DDX58/IFIH1 signaling,Immune System
R-HSA-936837,R-HSA-382551,Ion transport by P-type ATPases,Transport of small molecules
R-HSA-936964,R-HSA-168256,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,Immune System
R-HSA-937039,R-HSA-168256,IRAK1 recruits IKK complex,Immune System
R-HSA-937041,R-HSA-168256,IKK complex recruitment mediated by RIP1,Immune System
R-HSA-937042,R-HSA-168256,IRAK2 mediated activation of TAK1 complex,Immune System
R-HSA-937072,R-HSA-168256,TRAF6-mediated induction of TAK1 complex within TLR4 complex,Immune System
R-HSA-947581,R-HSA-1430728,Molybdenum cofactor biosynthesis,Metabolism
R-HSA-948021,R-HSA-392499,Transport to the Golgi and subsequent modification,Metabolism of proteins
R-HSA-9603381,R-HSA-162582,Activated NTRK3 signals through PI3K,Signal Transduction
R-HSA-9603505,R-HSA-162582,NTRK3 as a dependence receptor,Signal Transduction
R-HSA-9603798,R-HSA-9609507,Class I peroxisomal membrane protein import,Protein localization
R-HSA-9604323,R-HSA-162582,Negative regulation of NOTCH4 signaling,Signal Transduction
R-HSA-9607240,R-HSA-168256,FLT3 Signaling,Immune System
R-HSA-9608287,R-HSA-1643685,Defective MUTYH substrate binding,Disease
R-HSA-9608290,R-HSA-1643685,Defective MUTYH substrate processing,Disease
R-HSA-9609523,R-HSA-9609507,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,Protein localization
R-HSA-9609690,R-HSA-1643685,HCMV Early Events,Disease
R-HSA-9609736,R-HSA-112316,Assembly and cell surface presentation of NMDA receptors,Neuronal System
R-HSA-9610379,R-HSA-1643685,HCMV Late Events,Disease
R-HSA-9613354,R-HSA-9612973,Lipophagy,Autophagy
R-HSA-9613829,R-HSA-9612973,Chaperone Mediated Autophagy,Autophagy
R-HSA-9614399,R-HSA-74160,Regulation of localization of FOXO transcription factors,Gene expression (Transcription)
R-HSA-9614657,R-HSA-74160,FOXO-mediated transcription of cell death genes,Gene expression (Transcription)
R-HSA-9615017,R-HSA-74160,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Gene expression (Transcription)
R-HSA-9615710,R-HSA-9612973,Late endosomal microautophagy,Autophagy
R-HSA-9615933,R-HSA-1640170,Postmitotic nuclear pore complex (NPC) reformation,Cell Cycle
R-HSA-9616222,R-HSA-1266738,Transcriptional regulation of granulopoiesis,Developmental Biology
R-HSA-9616334,R-HSA-1643685,Defective Base Excision Repair Associated with NEIL1,Disease
R-HSA-9617324,R-HSA-112316,Negative regulation of NMDA receptor-mediated neuronal transmission,Neuronal System
R-HSA-9617629,R-HSA-74160,Regulation of FOXO transcriptional activity by acetylation,Gene expression (Transcription)
R-HSA-9617828,R-HSA-74160,FOXO-mediated transcription of cell cycle genes,Gene expression (Transcription)
R-HSA-9619229,R-HSA-112316,Activation of RAC1 downstream of NMDARs,Neuronal System
R-HSA-9619483,R-HSA-112316,Activation of AMPK downstream of NMDARs,Neuronal System
R-HSA-9619665,R-HSA-1266738,EGR2 and SOX10-mediated initiation of Schwann cell myelination,Developmental Biology
R-HSA-9620244,R-HSA-112316,Long-term potentiation,Neuronal System
R-HSA-9623433,R-HSA-162582,NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis,Signal Transduction
R-HSA-9627069,R-HSA-5357801,Regulation of the apoptosome activity,Programmed Cell Death
R-HSA-9629232,R-HSA-1643685,Defective Base Excision Repair Associated with NEIL3,Disease
